dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
1,5.143,5.144,1,1,0,0,0,0,231,43,0.585787
2,5.143,5.144,1,1,0,0,0,0,258,122,0.585786
0,5.144,5.169,0,0,0,0,0,0,130,77,0.665628
1,5.144,5.169,1,1,0,0,0,0,232,44,0.585784
2,5.144,5.169,1,1,0,0,0,0,258,122,0.585786
0,5.169,5.182,0,0,0,0,0,0,130,77,0.676443
1,5.169,5.182,1,1,0,0,0,0,233,44,0.585786
2,5.169,5.182,1,1,0,0,0,0,258,122,0.585786
0,5.182,5.184,0,0,0,0,0,0,130,77,0.718044
1,5.182,5.184,1,1,0,0,0,0,235,46,0.585785
2,5.182,5.184,1,1,0,0,0,0,258,122,0.585786
0,5.184,5.192,0,0,0,0,0,0,130,77,0.722563
1,5.184,5.192,1,1,0,0,0,0,237,48,0.585787
2,5.184,5.192,1,1,0,0,0,0,258,122,0.585786
0,5.192,5.199,0,0,0,0,0,0,130,76,0.726821
1,5.192,5.199,1,1,0,0,0,0,239,48,0.585783
2,5.192,5.199,1,1,0,0,0,0,264,126,0.585786
0,5.199,5.205,0,0,0,0,0,0,130,76,0.728518
1,5.199,5.205,1,1,0,0,0,0,243,49,0.585786
2,5.199,5.205,1,1,0,0,0,0,267,127,0.585786
0,5.205,5.222,0,0,0,0,0,0,130,76,0.731818
1,5.205,5.222,1,1,0,0,0,0,245,49,0.585785
2,5.205,5.222,1,1,0,0,0,0,273,131,0.585786
0,5.222,5.236,0,0,0,0,0,0,130,75,0.698507
1,5.222,5.236,1,1,0,0,0,0,248,50,0.585784
2,5.222,5.236,1,1,0,0,0,0,279,135,0.585784
0,5.236,5.287,0,0,0,0,0,0,130,75,0.702763
1,5.236,5.287,1,1,0,0,0,0,249,50,0.585786
2,5.236,5.287,1,1,0,0,0,0,279,135,0.585784
0,5.287,5.294,0,0,0,0,0,0,130,75,0.705466
1,5.287,5.294,1,1,0,0,0,0,251,51,0.585787
2,5.287,5.294,1,1,0,0,0,0,279,135,0.585784
0,5.294,5.297,0,0,0,0,0,0,130,75,0.706095
1,5.294,5.297,1,1,0,0,0,0,255,51,0.585786
2,5.294,5.297,1,1,0,0,0,0,288,139,0.585786
0,5.297,5.307,0,0,0,0,0,0,130,75,0.746941
1,5.297,5.307,1,1,0,0,0,0,257,51,0.585785
2,5.297,5.307,2,2,0,0,0,0,291,140,0.585785
0,5.307,5.337,0,0,0,0,0,0,130,75,0.748393
1,5.307,5.337,1,1,0,0,0,0,259,52,0.585787
2,5.307,5.337,2,1,0,0,0,0,291,140,0.585785
0,5.337,5.351,0,0,0,0,0,0,130,75,0.748569
1,5.337,5.351,1,1,0,0,0,0,261,51,0.585786
2,5.337,5.351,2,1,0,0,0,0,294,140,0.585786
0,5.351,5.358,0,0,0,0,0,0,130,75,0.760718
1,5.351,5.358,1,1,0,0,0,0,263,51,0.585784
2,5.351,5.358,2,1,0,0,0,0,297,140,0.585786
0,5.358,5.376,0,0,0,0,0,0,130,75,0.762477
1,5.358,5.376,1,1,0,0,0,0,265,53,0.585787
2,5.358,5.376,2,2,0,0,0,0,297,140,0.585786
0,5.376,5.385,0,0,0,0,0,0,130,75,0.763104
1,5.376,5.385,1,1,0,0,0,0,269,53,0.585786
2,5.376,5.385,2,2,0,0,0,0,309,148,0.585785
0,5.385,5.421,0,0,0,0,0,0,130,75,0.765734
1,5.385,5.421,1,1,0,0,0,0,270,54,0.585787
2,5.385,5.421,2,2,0,0,0,0,309,148,0.585785
